modulus_p,NTT_INCOMPLETENESS,INTT_QUADRATIC_LEVEL,N,l,bit_size,p_start_size,key_hw,N_prime,n_message_bits,std_err,dfr,OMP_NUM_THREADS,bootstrapping_time_ms
12289,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1257850.9200
7681,4,6,1024,3,49,24,256,16384,8,0.031250,0.000977,1,615660.2310
7937,4,6,1024,3,49,24,256,16384,8,0.031250,0.000977,1,598705.0620
16001,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1348756.4580
7681,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1762879.4800
7937,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1834858.4790
12289,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3850488.1510
15361,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3962857.0540
12289,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1284641.2710
7681,4,6,1024,3,49,24,256,16384,8,0.062500,0.003906,1,609919.3350
7937,4,6,1024,3,49,24,256,16384,8,0.000000,0.000000,1,594118.7930
16001,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1349455.8140
7681,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1811017.5150
7937,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1786733.3250
12289,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3848874.8510
15361,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3955416.9940
12289,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1269378.6840
7681,4,6,1024,3,49,24,256,16384,8,0.054127,0.002930,1,606073.4800
7937,4,6,1024,3,49,24,256,16384,8,0.000000,0.000000,1,612455.7880
16001,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1345070.0770
7681,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1785943.7180
7937,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1784645.3460
12289,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3840782.7270
15361,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3953275.3550
12289,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1274532.1330
7681,4,6,1024,3,49,24,256,16384,8,0.000000,0.000000,1,592579.4150
7937,4,6,1024,3,49,24,256,16384,8,0.000000,0.000000,1,594675.6820
16001,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1345822.5100
7681,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1811402.5450
7937,4,6,2048,3,49,27,52,16384,8,0.000000,0.000000,1,1811332.8530
12289,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3824876.1090
15361,4,6,2048,3,49,27,52,32768,8,0.000000,0.000000,1,3953654.7250
12289,4,6,1024,3,49,24,256,32768,8,0.000000,0.000000,1,1243197.4930
